,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.21,0.25,0.0,-0.0,0.0,-1.05,-0.34,0.0,-2.0,-0.06,-0.24,-0.1
TP53,0.25,1.72,-0.26,-0.35,0.0,-0.0,-0.53,-0.41,-1.06,0.0,-0.33,-0.05
KRAS,0.0,-0.17,1.34,0.01,0.0,-1.39,-0.26,0.0,-0.99,0.01,-0.0,-0.0
PIK3CA,0.0,-0.25,0.01,0.47,0.0,-0.0,0.0,-0.01,-0.0,-0.01,-0.0,-0.0
FBXW7,0.0,0.0,0.0,0.0,-0.31,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
BRAF,-1.05,-0.0,-1.24,-0.0,-0.0,0.38,0.0,0.0,0.14,-0.0,0.0,0.0
ARID1A,-0.36,-0.39,-0.24,0.0,-0.0,0.0,-0.16,-0.0,0.59,-0.0,0.15,0.01
SOX9,0.0,-0.29,0.0,-0.01,-0.0,0.0,-0.0,-0.18,-0.0,-0.0,-0.0,0.0
RNF43,-1.7,-0.68,-0.79,-0.0,-0.0,0.11,0.39,-0.0,0.48,-0.0,0.66,0.09
SMAD4,-0.04,0.0,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.43,-0.0,-0.0
KMT2D,-0.24,-0.25,-0.0,0.0,0.0,0.0,0.16,-0.0,1.01,-0.0,-0.58,0.02
PTPRS,-0.11,-0.03,-0.0,-0.0,-0.0,0.0,0.01,0.0,0.15,-0.0,0.02,-0.57
Observation,0.61,1.87,0.64,0.24,-0.0,0.2,0.24,0.14,0.0,0.15,0.0,0.04
