,TP53,KRAS,EGFR,STK11,RBM10,KEAP1,ATM,SMARCA4,PTPRD,NF1,PIK3CA,BRAF
TP53,0.3,-1.15,-0.59,-1.05,-1.12,-0.5,-0.84,-0.07,0.0,-0.0,-0.22,-0.47
KRAS,-1.46,0.39,-4.35,-0.27,-0.2,-0.69,0.0,-0.25,-0.18,-1.21,-0.17,-1.56
EGFR,-0.67,-4.32,0.22,-2.53,-0.3,-2.2,-0.97,-0.72,-0.96,-1.97,-0.0,-1.95
STK11,-1.03,-0.24,-2.78,-1.17,-0.38,1.17,-0.07,0.09,-0.0,-0.32,-0.38,-0.09
RBM10,-1.13,-0.18,-0.28,-0.42,-1.48,-0.47,-0.0,-0.01,0.0,-0.0,-0.0,-0.09
KEAP1,-0.57,-0.61,-2.48,1.3,-0.46,-1.68,-0.28,0.54,-0.0,-0.0,-0.08,-0.25
ATM,-0.9,0.01,-1.17,-0.07,-0.0,-0.29,-2.26,-0.0,-0.0,0.0,-0.0,-0.01
SMARCA4,-0.08,-0.22,-0.85,0.14,-0.01,0.8,-0.0,-2.64,-0.0,-0.0,-0.0,0.0
PTPRD,0.0,-0.19,-1.11,-0.0,0.0,-0.0,-0.0,-0.0,-2.53,0.1,-0.0,-0.0
NF1,-0.0,-1.25,-2.12,-0.34,-0.0,-0.0,0.0,-0.0,0.08,-2.12,-0.0,-0.0
PIK3CA,-0.21,-0.22,0.0,-0.45,-0.0,-0.1,-0.0,-0.0,-0.0,-0.0,-2.77,-0.0
BRAF,-0.53,-1.67,-2.08,-0.1,-0.09,-0.27,-0.01,0.0,-0.0,-0.0,-0.0,-2.06
